cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
34550 0.0248365 0.446864 0.0248368 16.8395 -0.628445 0.149287 25.1164 15.1166 17.27 19.629
95962 0.0190115 0.441162 0.0190117 15.6398 -0.552428 0.122035 34.1671 20.0556 21.8709 26.1105
95967 0.0248372 0.441184 0.0190118 15.7136 -0.807291 0.081431 32.381 19.167 21.35 24.9449
96014 0.0190115 0.441184 0.0248374 16.2834 -0.545431 0.175432 30.0273 17.8552 19.8419 23.1815
96020 0.0248371 0.441205 0.0248374 15.9172 -0.88014 0.0739784 31.0423 18.3499 20.6833 23.9641
96175 0.0190114 0.446828 0.0190116 17.0346 -0.233505 0.18218 25.2974 15.3885 16.8536 19.6677
96181 0.0248366 0.446846 0.0190116 16.7161 -0.579247 0.129189 26.1909 15.7896 17.7573 20.4044
96235 0.0190114 0.446846 0.0248368 17.147 -0.291341 0.229407 24.2506 14.7734 16.4913 18.9544
96293 -0.0276764 0.441297 -0.0276768 18.1685 3.46778 -0.985318 15.862 12.5544 11.456 13.1654
96300 -0.0276792 0.441231 0.0190122 18.2297 3.59948 0.619771 16.2007 13.1545 11.6388 13.5269
96302 -0.0276783 0.441264 -0.0218214 18.177 3.60931 -0.804521 16.3451 12.6881 11.3026 13.3392
96307 0.0248379 0.441251 -0.0276778 15.889 -0.774343 -0.0425249 30.884 18.2174 21.096 23.9904
96310 0.0656022 0.441664 -0.0276462 14.4909 -1.61236 0.383 33.0825 20.2607 24.0134 26.1707
96312 0.0248377 0.441217 -0.0218221 15.7439 -0.747594 -0.0591008 31.6075 18.8575 21.4028 24.5534
96314 0.0655966 0.441626 0.0190124 14.4337 -1.80283 -0.25752 32.3657 20.5043 24.2966 25.9874
96316 0.0655998 0.441646 -0.0218 14.2638 -1.67464 0.295948 34.2003 20.8345 24.8293 27.013
96332 -0.0276777 0.441251 0.0248379 18.2294 3.44585 0.826849 16.2382 13.0161 11.6078 13.5051
96336 -0.0276462 0.441664 0.0656022 17.7887 2.16604 1.36868 14.331 11.5917 11.5036 12.4162
96339 -0.0218221 0.441217 0.0248377 18.2822 2.83511 0.769917 18.6375 13.2802 12.2901 14.8075
96340 0.0190114 0.441626 0.0655975 17.1132 -0.506012 -0.0203824 22.0088 13.323 15.2675 17.2646
96343 -0.0218001 0.441646 0.0655999 17.9208 1.76075 1.19384 15.2468 11.5809 11.7741 12.8866
96344 0.0651854 0.403948 0.0651849 6.75521 -0.33932 0.0335942 83.3092 45.7533 66.6616 66.941
96346 0.0655975 0.441637 0.024838 14.6657 -1.7978 -0.349082 31.0775 19.8113 23.1537 24.9353
96347 0.0248368 0.441637 0.0655988 16.8884 -0.724652 -0.175386 22.5069 13.8278 15.7107 17.7271
96350 0.0656149 0.44182 0.0656199 15.7753 -1.35516 -0.619305 24.4649 16.0186 17.6362 19.6287
96357 0.0190122 0.441231 -0.0276793 16.2534 -0.476117 -0.162609 30.0436 17.6014 20.2324 23.2395
96360 -0.0218211 0.441264 -0.0276786 18.2198 2.85092 -0.93368 18.1917 12.7817 12.2683 14.4661
96818 0.019012 0.441196 -0.0218232 16.1331 -0.429407 -0.15636 30.6596 18.2892 20.4295 23.7382
96820 -0.0218231 0.441196 0.019012 18.2714 2.9836 0.595086 18.5929 13.4659 12.2847 14.8285
96822 -0.0218224 0.44123 -0.0218227 18.2361 2.99239 -0.767084 18.6578 12.9867 12.0752 14.6526
96823 -0.021761 0.402119 0.0190065 -5.21249 0.258676 -0.847557 74.5843 29.0163 98.3817 72.1848
97861 -0.0455588 0.418989 -0.0455598 12.9698 4.16528 -2.33831 50.6369 17.9063 23.0996 31.6756
97866 -0.0276955 0.418754 -0.0456014 7.85149 0.664487 0.0366236 90.942 44.194 59.4385 67.4743
97867 -0.0456009 0.418754 -0.027696 10.5451 4.27852 -1.20602 65.5675 24.291 30.3561 40.554
97868 -0.051585 0.419355 -0.0515866 17.1529 6.61216 -3.16675 21.406 12.8255 13.3884 15.0343
97875 -0.045528 0.419182 -0.051626 14.3797 4.09022 -2.40858 42.6758 14.8259 21.0973 27.3365
97881 -0.0276883 0.41897 -0.0516762 9.43214 0.679238 0.323979 77.7209 33.6606 49.7126 56.5211
97882 -0.0516246 0.419182 -0.0455294 16.0637 6.88431 -2.96616 29.0199 13.8101 14.5356 18.4542
97888 -0.0516755 0.41897 -0.0276889 14.7315 7.21898 -1.7204 35.9072 16.0606 16.6603 22.0263
97898 -0.0456095 0.418698 -0.00429495 9.70476 4.08067 -0.219066 70.8889 27.9902 33.325 44.2612
97901 -0.0276063 0.402121 -0.00428195 -4.99301 0.30635 0.361004 74.418 27.5805 89.3552 68.692
97902 -0.0456053 0.418728 -0.0218222 10.1914 4.17673 -0.901329 67.7475 25.4084 31.5498 42.0286
97905 -0.0516851 0.418918 0.00153419 14.1918 7.24349 -0.0492978 38.1283 17.1725 17.7811 23.3672
97911 -0.0516826 0.418929 0.0190111 14.6034 7.2086 1.01525 36.4869 16.7563 17.1362 22.5566
97912 -0.0516849 0.418919 -0.00429436 14.1865 7.23044 -0.330187 38.0974 17.1327 17.8312 23.3582
97917 -0.0516805 0.418947 -0.0218184 14.492 7.23038 -1.2958 36.9236 16.4862 17.0991 22.6092
97919 -0.0456096 0.418696 0.00153393 9.68046 4.09964 0.000735752 71.6523 28.1668 33.2555 44.5861
97920 -0.0276064 0.402121 0.00154054 -5.02007 0.32678 0.143755 74.2352 27.0937 89.5702 68.7895
97925 -0.0456074 0.41871 0.0190105 10.3748 4.1771 0.850209 67.2184 25.9287 31.1092 41.9083
97926 0.0481419 0.418981 -0.0455581 7.85414 -1.73318 1.28565 78.7636 49.5872 62.1948 62.3197
97929 0.0656017 0.419619 -0.0276732 8.22652 -1.56322 0.706257 70.6803 47.3333 57.2644 57.9575
97931 0.0656302 0.419765 -0.0454452 9.25685 -1.50894 1.04519 63.8326 42.2495 49.3577 51.5815
97932 0.0481328 0.418748 -0.027695 6.68083 -1.57437 0.912329 89.8951 61.8667 74.8929 73.7288
97933 0.0423183 0.419066 -0.0516502 8.26396 -1.636 1.47246 75.4988 47.7644 59.1257 59.7693
97939 0.0248364 0.418942 -0.0516799 7.64149 -1.73504 1.5078 85.4594 53.4919 66.5481 66.7892
97940 0.0481486 0.419172 -0.0516242 8.43654 -1.63545 1.43193 73.4181 46.085 57.0968 58.0326
97946 0.065652 0.419873 -0.0514672 9.76933 -1.53931 1.12745 60.2996 38.9911 46.1743 48.3756
97947 0.0423142 0.418863 -0.0455793 7.6719 -1.7399 1.33885 81.531 51.3829 64.2417 64.2888
97952 0.0248355 0.418724 -0.0456048 7.00291 -1.76196 1.36992 93.4027 58.2762 71.7878 72.2978
97953 0.0423084 0.418614 -0.027701 6.37108 -1.57706 0.934017 95.6276 65.997 79.2717 78.0427
97956 0.0655979 0.419601 -0.0218104 7.97109 -1.64011 0.618261 71.4816 49.2805 59.7137 59.4188
97958 0.0481317 0.418723 -0.0218214 6.21535 -1.59301 0.761917 95.287 65.9306 81.1133 78.5528
97960 0.0655931 0.419578 -0.00429343 7.50217 -1.6002 0.0506798 71.6985 53.6602 64.5417 62.3296
97978 0.0655943 0.419587 0.0190114 7.93941 -1.6875 -0.672464 70.5176 50.8498 60.7297 59.6854
97980 0.0655927 0.419577 0.00153468 7.47603 -1.6076 -0.0708692 71.1366 53.4357 65.1815 62.2517
97981 0.0481304 0.418705 0.0190099 6.13793 -1.67686 -0.626781 93.9946 67.8064 82.2937 78.7845
98018 -0.0455581 0.418981 0.0481419 13.4925 4.17461 2.29976 48.5929 17.6518 22.0779 30.6034
98021 -0.0276732 0.419619 0.0656017 12.7964 1.44012 0.474196 55.4866 23.6014 28.787 38.3087
98023 -0.027695 0.418749 0.0481329 8.43636 0.678125 0.24906 86.568 40.064 54.4401 63.1798
98024 -0.0454452 0.419765 0.0656302 16.7765 4.46833 2.71954 27.7123 13.7556 15.2891 19.0212
98025 -0.0516502 0.419066 0.0423183 15.8999 6.91904 2.58654 30.8149 14.8804 14.7491 19.511
98031 -0.0516799 0.418942 0.0248364 14.8767 7.19035 1.41464 35.1245 16.2917 16.7333 21.846
98032 -0.0455793 0.418863 0.0423141 12.7502 4.28065 2.09632 52.9452 19.1589 23.3953 32.9736
98037 -0.0456048 0.418724 0.0248355 10.8034 4.21141 1.12901 64.2129 24.485 29.6839 40.0791
98038 -0.027701 0.418614 0.0423084 7.36214 0.84897 0.399219 98.3811 47.5923 61.1507 71.7233
98039 -0.0516243 0.419172 0.0481486 16.2473 6.68475 2.91019 28.8918 14.4565 14.3155 18.6133
98045 -0.0514671 0.419873 0.065652 17.1386 5.49037 3.30437 18.8844 13.6434 13.5563 14.5765
98046 -0.00429478 0.418693 0.0481304 7.1695 -1.07972 -0.86585 99.3327 56.1054 69.6652 75.7762
98049 -0.0218104 0.419601 0.065598 11.824 0.763631 -0.0361256 61.263 28.8679 33.5799 43.552
98051 -0.0218214 0.418723 0.0481317 7.83809 0.115401 -0.183808 92.98 46.1673 60.8912 69.4582
98052 -0.00429358 0.419578 0.0655932 10.7514 -0.505856 -1.02228 65.517 37.2695 41.0798 49.285
98059 0.0190093 0.418568 0.0423069 6.82407 -1.80005 -1.17659 97.4022 59.6789 74.1011 74.9776
98067 0.00153387 0.418691 0.0481303 7.14252 -1.30923 -0.967865 98.7602 56.7132 70.6853 75.4518
98070 0.0190107 0.419587 0.065595 10.6338 -1.15007 -1.48316 61.749 38.9028 42.1123 47.9073
98072 0.00153448 0.419577 0.0655929 10.685 -0.726361 -1.16011 64.7181 38.002 41.5971 49.1394
98073 0.0190096 0.418705 0.0481307 7.47101 -1.78879 -1.26708 88.8839 54.1495 67.4367 68.7049
98074 0.0481366 0.418977 0.0481378 8.70785 -1.92654 -1.4188 69.7792 43.2522 55.5909 55.1972
98075 0.0651208 0.40327 0.0481054 5.40439 -0.624832 0.101401 94.6273 41.7898 91.6591 79.254
98077 0.0656919 0.420149 0.0656961 11.5729 -1.10409 -1.23693 49.2041 33.5872 34.9558 39.4761
98079 0.0656232 0.419756 0.0481555 10.0625 -1.69987 -1.37808 57.5078 37.2536 44.8275 46.1942
98080 0.0481531 0.419756 0.0656255 11.2762 -1.12997 -1.39356 52.8186 35.8193 37.6757 42.2559
98081 0.0423087 0.418733 0.0423094 7.92234 -1.91995 -1.27304 78.4225 48.4108 62.1821 61.6352
98086 0.0423068 0.418584 0.0248342 6.23123 -1.81295 -0.81875 96.4784 66.8108 80.3544 78.2255
98087 0.0248338 0.418584 0.0423072 7.06112 -1.90377 -1.29886 92.3271 57.1093 70.5087 71.0493
98088 0.048134 0.418859 0.0423112 8.19436 -1.93494 -1.34114 74.7729 46.429 59.4802 58.9466
98089 0.0651218 0.403248 0.0422953 5.26259 -0.599748 -0.131266 96.1594 43.0872 96.9509 82.1123
98091 0.0655963 0.419597 0.0248367 8.35108 -1.74492 -0.91134 68.3062 47.9859 57.0011 56.8027
98093 0.0481308 0.41872 0.0248345 6.56337 -1.78806 -0.83308 90.7088 62.9558 76.1199 74.1523
98094 0.0656116 0.419686 0.0423216 9.67263 -1.88431 -1.34651 60.1363 38.7188 47.4727 48.1997
98095 0.0423102 0.418859 0.0481349 8.49005 -1.94739 -1.36504 72.6067 44.87 57.5025 57.216
98098 0.0248359 0.419597 0.0655972 10.671 -1.20585 -1.53451 60.5821 38.572 41.8999 47.2223
98100 0.024834 0.41872 0.0481313 7.67476 -1.8855 -1.36973 85.0895 51.8567 64.0746 65.4472
98101 0.0423197 0.419686 0.0656135 10.9448 -1.20074 -1.49226 55.4497 36.7205 39.9946 44.1349
98115 -0.0218218 0.418728 -0.0456057 7.3102 0.0562505 0.543027 98.5114 50.767 66.7466 74.4851
98122 0.0190111 0.418929 -0.0516826 7.47921 -1.65975 1.46906 89.2582 55.2581 68.9778 69.533
98123 0.00153429 0.418918 -0.0516853 7.35591 -1.1555 1.28806 96.0372 54.6699 68.8813 73.1834
98129 -0.0218179 0.418947 -0.0516809 8.53541 0.11803 0.744207 86.4128 40.7547 56.2053 63.7499
98130 -0.0042942 0.418919 -0.0516852 7.40994 -0.928073 1.23906 96.778 53.6614 68.1042 73.4339
98136 0.0190106 0.41871 -0.0456074 6.83267 -1.67254 1.32881 98.0724 60.6677 74.5969 75.6833
